Rank,School,Blog Name,Blog URL,RSS Status,RSS Feed URL,Content Type,Notes
1,Stanford GSB,MBA Admission Blog,https://web.stanford.edu/group/mba/blog/,Dead,,Admissions,Real RSS feed existed; archive shows no posts since ~2011
2,Wharton,MBA Admissions Blog,https://mba.wharton.upenn.edu/mba-admissions-blog/,Live - RSS Confirmed,https://mba.wharton.upenn.edu/category/mba-admissions-blog/feed/,Admissions,"Deadlines, application changes, admissions team travel schedule"
3,Chicago Booth,Full-Time MBA Blog (The Booth Experience),https://theboothexp.com/,Live - RSS Confirmed,,Admissions/Student Life,"Covers admissions, academics, career outcomes, student life"
4,Harvard Business School,MBA Blog,https://www.hbs.edu/mba/blog/,Live - RSS Confirmed,,Admissions/Student Life,"Separate from HBS Working Knowledge, which is faculty research, not admissions"
4,Northwestern Kellogg,Applying to Kellogg blog (within News + Stories),https://www.kellogg.northwestern.edu/news/blog/,Live - No RSS Found,,Admissions,"Current and detailed (deadlines, essay changes); Sitecore CMS, no feed tag found"
6,MIT Sloan,MIT Sloan Student Blog,https://mitsloan.mit.edu/student-blogs/,Not Confirmed,,Student Life,"MIT News has a confirmed Sloan research feed, but the student/admissions blog feed is unverified"
7,Columbia Business School,(Former RSS feeds page),http://www8.gsb.columbia.edu/rss-feeds,Dead,,Admissions,Old RSS feeds page now redirects to homepage; appears discontinued
7,NYU Stern,Full-time MBA Blog,https://blogs.stern.nyu.edu/full-time-mba/,Not Confirmed,,Student Life,Referenced in older directories; current status unverified
9,Dartmouth Tuck,School News (admissions-relevant),https://tuck.dartmouth.edu/news/journalists/school-news,Live - RSS Confirmed,,Admissions/News,Explicit Subscribe to RSS feed link; covers round deadlines and visit days
10,UC Berkeley Haas,Berkeley MBA Blog,https://blogs.haas.berkeley.edu/the-berkeley-mba/,Live - RSS Confirmed,,Admissions,"Covers programs, student experience, admissions process"
11,UVA Darden,Admissions Blog,https://blogs.darden.virginia.edu/admissions/,Live - RSS Confirmed,,Admissions,Very current (2026 posts); round deadlines and application prep tips
11,Yale SOM,MBA Blog / Events Calendar,https://som.yale.edu/programs/mba/blog,Not Found,,Admissions,Old blog URL appears retired under current site; SOM offers ICS calendar subscription for events instead
13,Michigan Ross,Full-Time MBA Admissions Blog,https://michiganross.umich.edu/graduate/full-time-mba/admissions/admissions-blog,Live - No RSS Found,,Admissions,"Excellent, very current content (round additions, essay changes); Drupal site, no RSS tag found"
14,Duke Fuqua,Daytime MBA Student Blog,https://blogs.fuqua.duke.edu/duke-mba/,Live - RSS Confirmed,,Admissions/Student Life,Also has a separate Global EMBA blog
15,Cornell Johnson,,,Not Found,,,No dedicated admissions blog located; Cornell Chronicle has a general Johnson news feed (research/press)
16,CMU Tepper,,,Not Found,,,No dedicated admissions blog located
16,Vanderbilt Owen,,,Not Found,,,No dedicated admissions blog located
18,UCLA Anderson,MBA Insider Blog,http://mbablogs.anderson.ucla.edu/,Likely Dormant,,Admissions,Associated Twitter/X account inactive since 2011; site blocks automated access
18,UT Austin McCombs,MBA Insider Blog,https://blogs.mccombs.utexas.edu/mba-insider/,Live - RSS Confirmed,,Admissions,Your own school's blog
20,Univ. of Washington Foster,Inside the MBA Blog,http://depts.washington.edu/foster/tag/inside-the-mba/,Not Confirmed,,Admissions,Old URL reference from a 2020 directory; current status unverified
