Rank,School,Location,Annual Tuition,Total Annual COA,YOY Increase (%)
1,Stanford GSB,Bay Area,85755,135771,4.0
2,Wharton (UPenn),Philadelphia,87970,132404,3.7
3,Chicago Booth,Chicago,87354,129403,3.75
4,Harvard Business School,Boston,78700,126536,3.0
4,Northwestern (Kellogg),Chicago,86370,128852,3.3
6,MIT Sloan,Boston,89000,143080,2.83
7,Columbia Business School,New York City,91172,137571,3.25
7,NYU Stern,New York City,89524,135840,3.0
9,Dartmouth (Tuck),Hanover,84250,124500,4.5
10,UC Berkeley (Haas),Bay Area,89033,133655,4.25
11,UVA (Darden),Charlottesville,78100,112400,3.9
11,Yale School of Management,New Haven,82700,121800,3.5
13,Michigan (Ross),Ann Arbor,74150,105300,3.8
14,Duke (Fuqua),Durham,75600,107200,3.6
15,Cornell (Johnson),Ithaca,79900,114600,4.1
16,Carnegie Mellon (Tepper),Pittsburgh,74300,104800,3.2
16,Vanderbilt (Owen),Nashville,68500,98400,4.6
18,UCLA (Anderson),Los Angeles,76200,111900,3.9
18,UT Austin (McCombs),Austin,62400,93500,3.4
20,UW (Foster),Seattle,61200,91600,3.1
21,Indiana (Kelley),Bloomington,56300,83100,4.2
21,UNC (Kenan-Flagler),Chapel Hill,71400,101500,3.7
23,Emory (Goizueta),Atlanta,72300,103400,3.5
23,UT Dallas (Jindal),Dallas,38600,64200,2.9
25,USC (Marshall),Los Angeles,74500,112100,4.0
25,University of Georgia (Terry),Athens,34200,58600,2.5
27,Georgia Tech (Scheller),Atlanta,42700,69300,3.1
27,Washington University (Olin),St. Louis,68100,96200,3.3
29,Arizona State (W.P. Carey),Tempe,50200,77400,3.8
29,Rice University (Jones),Houston,69300,98100,3.6
